Epic ID,Epic Name,Story ID,User Story,Priority,Release,Type,Status,Notes
T0,T0 - Project Setup,US-T0-01,Create Git Repository,P0,MVP,Technical,Not Started,
T0,T0 - Project Setup,US-T0-02,Define Branching Strategy,P0,MVP,Technical,Not Started,
T0,T0 - Project Setup,US-T0-03,Setup Local Dev Guide,P0,MVP,Technical,Not Started,
T0,T0 - Project Setup,US-T0-04,Install Dependencies,P0,MVP,Technical,Not Started,
T0,T0 - Project Setup,US-T0-05,Setup Next.js Project,P0,MVP,Technical,Not Started,
T0,T0 - Project Setup,US-T0-06,Setup TypeScript,P0,MVP,Technical,Not Started,
T0,T0 - Project Setup,US-T0-07,Setup ESLint + Prettier,P0,MVP,Technical,Not Started,
T0,T0 - Project Setup,US-T0-08,Setup Environment Variables,P0,MVP,Technical,Not Started,
T0,T0 - Project Setup,US-T0-09,Setup README,P0,MVP,Technical,Not Started,
T0,T0 - Project Setup,US-T0-10,Commit Convention,P0,MVP,Technical,Not Started,
T1,T1 - Firebase Backend Setup,US-T1-01,Create Firebase Project (dev/staging/prod),P0,MVP,Technical,Not Started,
T1,T1 - Firebase Backend Setup,US-T1-02,Enable Firestore,P0,MVP,Technical,Not Started,
T1,T1 - Firebase Backend Setup,US-T1-03,Setup Security Rules baseline,P0,MVP,Technical,Not Started,
T1,T1 - Firebase Backend Setup,US-T1-04,Setup Firebase Auth,P0,MVP,Technical,Not Started,
T1,T1 - Firebase Backend Setup,US-T1-05,Setup Firebase Storage,P0,MVP,Technical,Not Started,
T1,T1 - Firebase Backend Setup,US-T1-06,Setup Firebase Functions,P0,MVP,Technical,Not Started,
T1,T1 - Firebase Backend Setup,US-T1-07,Configure Firebase CLI,P0,MVP,Technical,Not Started,
T1,T1 - Firebase Backend Setup,US-T1-08,Setup Firebase Emulator,P0,MVP,Technical,Not Started,
T1,T1 - Firebase Backend Setup,US-T1-09,Define Firestore Collections (all 25),P0,MVP,Technical,Not Started,
T1,T1 - Firebase Backend Setup,US-T1-10,Logging Setup,P0,MVP,Technical,Not Started,
T2,T2 - Frontend Architecture,US-T2-01,Define Folder Structure (studioverse repo),P0,MVP,Technical,Not Started,
T2,T2 - Frontend Architecture,US-T2-02,Setup App Shell Layout,P0,MVP,Technical,Not Started,
T2,T2 - Frontend Architecture,US-T2-03,Routing Convention (App Router),P0,MVP,Technical,Not Started,
T2,T2 - Frontend Architecture,US-T2-04,Component Structure + Module Pattern,P0,MVP,Technical,Not Started,
T2,T2 - Frontend Architecture,US-T2-05,State Management (Zustand stores),P0,MVP,Technical,Not Started,
T2,T2 - Frontend Architecture,US-T2-06,API / Service Layer Setup,P0,MVP,Technical,Not Started,
T2,T2 - Frontend Architecture,US-T2-07,Constants + Enums,P0,MVP,Technical,Not Started,
T2,T2 - Frontend Architecture,US-T2-08,Utilities + Helpers,P0,MVP,Technical,Not Started,
T2,T2 - Frontend Architecture,US-T2-09,Error Handling (error.tsx + boundaries),P0,MVP,Technical,Not Started,
T2,T2 - Frontend Architecture,US-T2-10,Form Handling Pattern,P0,MVP,Technical,Not Started,
T3,T3 - Deployment & DevOps,US-T3-01,Setup Vercel Projects (3 Studios),P0,MVP,Technical,Not Started,
T3,T3 - Deployment & DevOps,US-T3-02,Connect GitHub Repo to Vercel,P0,MVP,Technical,Not Started,
T3,T3 - Deployment & DevOps,US-T3-03,Environment Variables (dev/staging/prod),P0,MVP,Technical,Not Started,
T3,T3 - Deployment & DevOps,US-T3-04,Firebase Deploy Config,P0,MVP,Technical,Not Started,
T3,T3 - Deployment & DevOps,US-T3-05,CI/CD Pipeline,P0,MVP,Technical,Not Started,
T3,T3 - Deployment & DevOps,US-T3-06,Multi-environment Setup,P0,MVP,Technical,Not Started,
T3,T3 - Deployment & DevOps,US-T3-07,Domain Mapping (3 Studio domains),P0,MVP,Technical,Not Started,
T3,T3 - Deployment & DevOps,US-T3-08,SSL Configuration,P0,MVP,Technical,Not Started,
T3,T3 - Deployment & DevOps,US-T3-09,Build Validation,P0,MVP,Technical,Not Started,
T3,T3 - Deployment & DevOps,US-T3-10,Rollback Strategy,P0,MVP,Technical,Not Started,
T4,T4 - Security & Access Control,US-T4-01,Define Roles (superadmin/company/professional/individual),P0,MVP,Technical,Not Started,
T4,T4 - Security & Access Control,US-T4-02,Auth Guards (route protection),P0,MVP,Technical,Not Started,
T4,T4 - Security & Access Control,US-T4-03,Firestore Security Rules (all 25 collections),P0,MVP,Technical,Not Started,
T4,T4 - Security & Access Control,US-T4-04,Data Isolation (studioType + professionalId scoping),P0,MVP,Technical,Not Started,
T4,T4 - Security & Access Control,US-T4-05,Secure Firebase Functions (input validation),P0,MVP,Technical,Not Started,
T4,T4 - Security & Access Control,US-T4-06,Input Validation Layer,P0,MVP,Technical,Not Started,
T4,T4 - Security & Access Control,US-T4-07,Audit Logging (auditLogs collection),P0,MVP,Technical,Not Started,
T4,T4 - Security & Access Control,US-T4-08,Rate Limiting on Functions,P0,MVP,Technical,Not Started,
T4,T4 - Security & Access Control,US-T4-09,Secure Env Vars (no secrets in frontend),P0,MVP,Technical,Not Started,
T4,T4 - Security & Access Control,US-T4-10,PII Handling Policy,P0,MVP,Technical,Not Started,
T5,T5 - Studio Config Architecture,US-T5-01,Create studio.config.ts loader,P0,MVP,Technical,Not Started,
T5,T5 - Studio Config Architecture,US-T5-02,Create coaching.config.ts,P0,MVP,Technical,Not Started,
T5,T5 - Studio Config Architecture,US-T5-03,Create training.config.ts,P0,MVP,Technical,Not Started,
T5,T5 - Studio Config Architecture,US-T5-04,Create recruitment.config.ts,P0,MVP,Technical,Not Started,
T5,T5 - Studio Config Architecture,US-T5-05,Implement TerminologyMap interface,P0,MVP,Technical,Not Started,
T5,T5 - Studio Config Architecture,US-T5-06,Implement useStudio() hook,P0,MVP,Technical,Not Started,
T5,T5 - Studio Config Architecture,US-T5-07,NEXT_PUBLIC_STUDIO_TYPE env var for all 3 deployments,P0,MVP,Technical,Not Started,
E0,E0 - Public Landing Page,US-E0-01,Landing Page (Hero + sections + counters + CTA),P0,MVP,Product,Not Started,
E0,E0 - Public Landing Page,US-E0-02,Navigation (sticky header + anchor links),P0,MVP,Product,Not Started,
E0,E0 - Public Landing Page,US-E0-03,Footer (legal + social + contact),P0,MVP,Product,Not Started,
E0,E0 - Public Landing Page,US-E0-04,Responsive (portrait-first mobile),P0,MVP,Product,Not Started,
E0,E0 - Public Landing Page,US-E0-05,SEO (meta + OG + sitemap),P0,MVP,Product,Not Started,
E0,E0 - Public Landing Page,US-E0-06,Hosting (Vercel deploy per Studio),P0,MVP,Product,Not Started,
E0,E0 - Public Landing Page,US-E0-07,Domain Mapping per Studio,P0,MVP,Product,Not Started,
E0,E0 - Public Landing Page,US-E0-08,Analytics (page views + CTA clicks + scroll depth),P0,MVP,Product,Not Started,
E0,E0 - Public Landing Page,US-E0-09,Routing (anchor routing + 404 handling),P0,MVP,Product,Not Started,
E0,E0 - Public Landing Page,US-E0-10,Error Handling (chatbot fail + asset fail),P0,MVP,Product,Not Started,
E1,E1 - App Shell & Mobile Wrapper,US-E1-01,Layout (header + sidebar + content area),P0,MVP,Product,Not Started,
E1,E1 - App Shell & Mobile Wrapper,US-E1-02,Placeholder Screens (all modules),P0,MVP,Product,Not Started,
E1,E1 - App Shell & Mobile Wrapper,US-E1-03,Routing (authenticated route group),P0,MVP,Product,Not Started,
E1,E1 - App Shell & Mobile Wrapper,US-E1-04,Menu Roles (role-aware nav visibility),P0,MVP,Product,Not Started,
E1,E1 - App Shell & Mobile Wrapper,US-E1-05,Role Dashboards (4 role dashboard shells),P0,MVP,Product,Not Started,
E1,E1 - App Shell & Mobile Wrapper,US-E1-06,Mobile UI (touch-first + portrait-first),P0,MVP,Product,Not Started,
E1,E1 - App Shell & Mobile Wrapper,US-E1-07,Capacitor Integration (iOS + Android scaffold),P0,MVP,Product,Not Started,
E1,E1 - App Shell & Mobile Wrapper,US-E1-08,Mobile Navigation (bottom nav + overflow drawer),P0,MVP,Product,Not Started,
E1,E1 - App Shell & Mobile Wrapper,US-E1-09,Build Pipeline (web + wrapper build commands),P0,MVP,Product,Not Started,
E1,E1 - App Shell & Mobile Wrapper,US-E1-10,Env Config (all env vars documented),P0,MVP,Product,Not Started,
E2,E2 - Auth & User Management,US-E2-01,Registration (email + name + role selection),P0,MVP,Product,Not Started,
E2,E2 - Auth & User Management,US-E2-02,Login (email + password),P0,MVP,Product,Not Started,
E2,E2 - Auth & User Management,US-E2-03,Google SSO Login,P0,MVP,Product,Not Started,
E2,E2 - Auth & User Management,US-E2-04,Forgot Password / Reset,P0,MVP,Product,Not Started,
E2,E2 - Auth & User Management,US-E2-05,Logout,P0,MVP,Product,Not Started,
E2,E2 - Auth & User Management,US-E2-06,Session Management (token refresh),P0,MVP,Product,Not Started,
E2,E2 - Auth & User Management,US-E2-07,Role Assignment + userContext build on signup,P0,MVP,Product,Not Started,
E2,E2 - Auth & User Management,US-E2-08,User Profile (view),P0,MVP,Product,Not Started,
E2,E2 - Auth & User Management,US-E2-09,Edit Profile (name + avatar + bio + timezone),P0,MVP,Product,Not Started,
E2,E2 - Auth & User Management,US-E2-10,User Status (pending/active/suspended),P0,MVP,Product,Not Started,
E3,E3 - Dashboards,US-E3-01,SuperAdmin Dashboard (users + metrics + programs + tools),P0,MVP,Product,Not Started,
E3,E3 - Dashboards,US-E3-02,Company Dashboard (professionals + cohorts + usage),P0,MVP,Product,Not Started,
E3,E3 - Dashboards,US-E3-03,Professional Dashboard (individuals + cohorts + assignments),P0,MVP,Product,Not Started,
E3,E3 - Dashboards,US-E3-04,Individual Dashboard (my assignments + programs + reports),P0,MVP,Product,Not Started,
E3,E3 - Dashboards,US-E3-05,Dashboard Widgets / KPI Cards,P0,MVP,Product,Not Started,
E3,E3 - Dashboards,US-E3-06,Activity Feed (recent actions per role),P0,MVP,Product,Not Started,
E4,E4 - SuperAdmin Console,US-E4-01,User List (all users + filter by role/status),P0,MVP,Product,Not Started,
E4,E4 - SuperAdmin Console,US-E4-02,Approve / Activate / Suspend Users,P0,MVP,Product,Not Started,
E4,E4 - SuperAdmin Console,US-E4-03,Role Management (assign/change roles),P0,MVP,Product,Not Started,
E4,E4 - SuperAdmin Console,US-E4-04,Platform Metrics (users + programs + tools + events),P0,MVP,Product,Not Started,
E4,E4 - SuperAdmin Console,US-E4-05,Platform Program Management (create/publish/archive),P0,MVP,Product,Not Started,
E4,E4 - SuperAdmin Console,US-E4-06,Platform Tool Management (create/publish/archive),P0,MVP,Product,Not Started,
E4,E4 - SuperAdmin Console,US-E4-07,Company Management (create/suspend companies),P0,MVP,Product,Not Started,
E4,E4 - SuperAdmin Console,US-E4-08,Audit Log Viewer,P0,MVP,Product,Not Started,
E5,E5 - Company Management,US-E5-01,Company Profile (name + logo + brand color),P0,MVP,Product,Not Started,
E5,E5 - Company Management,US-E5-02,Invite Professional to Company,P0,MVP,Product,Not Started,
E5,E5 - Company Management,US-E5-03,Remove Professional from Company,P0,MVP,Product,Not Started,
E5,E5 - Company Management,US-E5-04,Company Member List,P0,MVP,Product,Not Started,
E5,E5 - Company Management,US-E5-05,Company-level Analytics (aggregate view),P0,MVP,Product,Not Started,
E5,E5 - Company Management,US-E5-06,Company Subscription Management,P1,Post-MVP,Product,Not Started,
E6,E6 - Professional Management,US-E6-01,Individual List (my individuals),P0,MVP,Product,Not Started,
E6,E6 - Professional Management,US-E6-02,Invite Individual (email invite),P0,MVP,Product,Not Started,
E6,E6 - Professional Management,US-E6-03,CSV Import of Individuals,P0,MVP,Product,Not Started,
E6,E6 - Professional Management,US-E6-04,Individual Profile View,P0,MVP,Product,Not Started,
E6,E6 - Professional Management,US-E6-05,Archive / Remove Individual,P0,MVP,Product,Not Started,
E6,E6 - Professional Management,US-E6-06,Individual Activity Summary,P0,MVP,Product,Not Started,
E7,E7 - Cohorts,US-E7-01,Create Cohort,P0,MVP,Product,Not Started,
E7,E7 - Cohorts,US-E7-02,Edit Cohort (name + dates + description),P0,MVP,Product,Not Started,
E7,E7 - Cohorts,US-E7-03,Add Individual to Cohort,P0,MVP,Product,Not Started,
E7,E7 - Cohorts,US-E7-04,Remove Individual from Cohort,P0,MVP,Product,Not Started,
E7,E7 - Cohorts,US-E7-05,CSV Import to Cohort,P0,MVP,Product,Not Started,
E7,E7 - Cohorts,US-E7-06,Cohort Member List,P0,MVP,Product,Not Started,
E7,E7 - Cohorts,US-E7-07,Archive / Restore Cohort,P0,MVP,Product,Not Started,
E7,E7 - Cohorts,US-E7-08,Late Join Handling (auto-assign on add),P0,MVP,Product,Not Started,
E8,E8 - Programs (LMS),US-E8-01,Program Catalog (list + filter),P0,MVP,Product,Not Started,
E8,E8 - Programs (LMS),US-E8-02,Program Detail Page,P0,MVP,Product,Not Started,
E8,E8 - Programs (LMS),US-E8-03,Module Viewer (video embed),P0,MVP,Product,Not Started,
E8,E8 - Programs (LMS),US-E8-04,Module Viewer (PDF),P0,MVP,Product,Not Started,
E8,E8 - Programs (LMS),US-E8-05,Module Viewer (audio),P0,MVP,Product,Not Started,
E8,E8 - Programs (LMS),US-E8-06,Mark Module Complete,P0,MVP,Product,Not Started,
E8,E8 - Programs (LMS),US-E8-07,Progress Tracking (% complete),P0,MVP,Product,Not Started,
E8,E8 - Programs (LMS),US-E8-08,Drip Scheduling (releaseAfterDays),P0,MVP,Product,Not Started,
E8,E8 - Programs (LMS),US-E8-09,Create Program (Professional/Admin),P0,MVP,Product,Not Started,
E8,E8 - Programs (LMS),US-E8-10,Add/Edit Modules,P0,MVP,Product,Not Started,
E8,E8 - Programs (LMS),US-E8-11,Publish / Archive Program,P0,MVP,Product,Not Started,
E8,E8 - Programs (LMS),US-E8-12,Tag + Filter Programs,P0,MVP,Product,Not Started,
E9,E9 - Tools (Assessment Engine),US-E9-01,Tool Catalog (list + filter),P0,MVP,Product,Not Started,
E9,E9 - Tools (Assessment Engine),US-E9-02,Start Tool (Individual),P0,MVP,Product,Not Started,
E9,E9 - Tools (Assessment Engine),US-E9-03,Answer Questions (all types),P0,MVP,Product,Not Started,
E9,E9 - Tools (Assessment Engine),US-E9-04,Navigate Questions (next/back),P0,MVP,Product,Not Started,
E9,E9 - Tools (Assessment Engine),US-E9-05,Autosave Progress,P0,MVP,Product,Not Started,
E9,E9 - Tools (Assessment Engine),US-E9-06,Submit Tool,P0,MVP,Product,Not Started,
E9,E9 - Tools (Assessment Engine),US-E9-07,Lock After Submission,P0,MVP,Product,Not Started,
E9,E9 - Tools (Assessment Engine),US-E9-08,Retry / Re-attempt (if allowed),P0,MVP,Product,Not Started,
E9,E9 - Tools (Assessment Engine),US-E9-09,Submission History,P0,MVP,Product,Not Started,
E9,E9 - Tools (Assessment Engine),US-E9-10,Create Tool (Admin/Professional),P0,MVP,Product,Not Started,
E9,E9 - Tools (Assessment Engine),US-E9-11,Add/Edit Questions,P0,MVP,Product,Not Started,
E9,E9 - Tools (Assessment Engine),US-E9-12,Scoring Configuration (weighted/scale/categorical),P0,MVP,Product,Not Started,
E9,E9 - Tools (Assessment Engine),US-E9-13,Publish / Archive Tool,P0,MVP,Product,Not Started,
E10,E10 - Assignment Engine,US-E10-01,Assign Program to Individual,P0,MVP,Product,Not Started,
E10,E10 - Assignment Engine,US-E10-02,Assign Program to Cohort (bulk expand),P0,MVP,Product,Not Started,
E10,E10 - Assignment Engine,US-E10-03,Assign Tool to Individual,P0,MVP,Product,Not Started,
E10,E10 - Assignment Engine,US-E10-04,Assign Tool to Cohort (bulk expand),P0,MVP,Product,Not Started,
E10,E10 - Assignment Engine,US-E10-05,Duplicate Assignment Check,P0,MVP,Product,Not Started,
E10,E10 - Assignment Engine,US-E10-06,Assignment Record Creation (per Individual),P0,MVP,Product,Not Started,
E10,E10 - Assignment Engine,US-E10-07,Assignment Status Tracking (lifecycle),P0,MVP,Product,Not Started,
E10,E10 - Assignment Engine,US-E10-08,Mark Assignment Complete,P0,MVP,Product,Not Started,
E10,E10 - Assignment Engine,US-E10-09,Overdue Detection (scheduled function),P0,MVP,Product,Not Started,
E10,E10 - Assignment Engine,US-E10-10,Reassign / Extend Deadline,P0,MVP,Product,Not Started,
E10,E10 - Assignment Engine,US-E10-11,Professional Assignment View,P0,MVP,Product,Not Started,
E10,E10 - Assignment Engine,US-E10-12,Individual Assignment View (my tasks),P0,MVP,Product,Not Started,
E10,E10 - Assignment Engine,US-E10-13,Late Join Auto-Assignment (cohort),P0,MVP,Product,Not Started,
E11,E11 - Reports,US-E11-01,Trigger Report Generation on Tool Completion,P0,MVP,Product,Not Started,
E11,E11 - Reports,US-E11-02,AI Narrative Generation (Groq API),P0,MVP,Product,Not Started,
E11,E11 - Reports,US-E11-03,Branded PDF Generation,P0,MVP,Product,Not Started,
E11,E11 - Reports,US-E11-04,Store PDF in Firebase Storage,P0,MVP,Product,Not Started,
E11,E11 - Reports,US-E11-05,Dual Email Delivery (Individual + Professional),P0,MVP,Product,Not Started,
E11,E11 - Reports,US-E11-06,Professional Report Access (own Individuals only),P0,MVP,Product,Not Started,
E11,E11 - Reports,US-E11-07,Individual Report View + Download,P0,MVP,Product,Not Started,
E11,E11 - Reports,US-E11-08,Longitudinal Report History,P0,MVP,Product,Not Started,
E12,E12 - Events,US-E12-01,Create Event (SuperAdmin - global),P0,MVP,Product,Not Started,
E12,E12 - Events,US-E12-02,Create Event (Professional - private),P0,MVP,Product,Not Started,
E12,E12 - Events,US-E12-03,Event List + Discovery,P0,MVP,Product,Not Started,
E12,E12 - Events,US-E12-04,Event Detail Page,P0,MVP,Product,Not Started,
E12,E12 - Events,US-E12-05,Event Registration (Individual),P0,MVP,Product,Not Started,
E12,E12 - Events,US-E12-06,Event Reminder Notification,P0,MVP,Product,Not Started,
E12,E12 - Events,US-E12-07,Event Recording URL (post-event),P1,Post-MVP,Product,Not Started,
E13,E13 - Notifications,US-E13-01,Assignment Created Notification,P0,MVP,Product,Not Started,
E13,E13 - Notifications,US-E13-02,Assignment Completed Notification,P0,MVP,Product,Not Started,
E13,E13 - Notifications,US-E13-03,Assignment Overdue Notification,P0,MVP,Product,Not Started,
E13,E13 - Notifications,US-E13-04,Report Ready Notification,P0,MVP,Product,Not Started,
E13,E13 - Notifications,US-E13-05,Event Reminder Notification,P0,MVP,Product,Not Started,
E13,E13 - Notifications,US-E13-06,Email Delivery (Resend via Functions),P0,MVP,Product,Not Started,
E13,E13 - Notifications,US-E13-07,In-App Notification Centre,P0,MVP,Product,Not Started,
E13,E13 - Notifications,US-E13-08,Push Notification (FCM),P1,Post-MVP,Product,Not Started,
E14,E14 - Widget Engine,US-E14-01,Generate Embeddable Widget URL,P1,Post-MVP,Product,Not Started,
E14,E14 - Widget Engine,US-E14-02,Widget Page Route (/widget/[toolId]),P1,Post-MVP,Product,Not Started,
E14,E14 - Widget Engine,US-E14-03,Anonymous Session Tracking,P1,Post-MVP,Product,Not Started,
E14,E14 - Widget Engine,US-E14-04,Email Capture After Completion,P1,Post-MVP,Product,Not Started,
E14,E14 - Widget Engine,US-E14-05,Widget Report Email Delivery,P1,Post-MVP,Product,Not Started,
E14,E14 - Widget Engine,US-E14-06,Anonymous to Registered User Conversion,P1,Post-MVP,Product,Not Started,
E14,E14 - Widget Engine,US-E14-07,Professional Lead Notification,P1,Post-MVP,Product,Not Started,
E14,E14 - Widget Engine,US-E14-08,Widget Analytics (funnel tracking),P1,Post-MVP,Product,Not Started,
E15,E15 - Marketplace,US-E15-01,Marketplace Catalog (programs + events),P1,Post-MVP,Product,Not Started,
E15,E15 - Marketplace,US-E15-02,Program Purchase Flow (Stripe),P1,Post-MVP,Product,Not Started,
E15,E15 - Marketplace,US-E15-03,Event Ticket Purchase Flow (Stripe),P1,Post-MVP,Product,Not Started,
E15,E15 - Marketplace,US-E15-04,Payment Record Creation,P1,Post-MVP,Product,Not Started,
E15,E15 - Marketplace,US-E15-05,Professional Revenue Dashboard,P1,Post-MVP,Product,Not Started,
E15,E15 - Marketplace,US-E15-06,Platform Fee / Commission Split,P1,Post-MVP,Product,Not Started,
E16,E16 - Mobile Enhancements,US-E16-01,Push Notification Opt-In (FCM),P1,Post-MVP,Product,Not Started,
E16,E16 - Mobile Enhancements,US-E16-02,Offline Graceful Degradation,P1,Post-MVP,Product,Not Started,
E16,E16 - Mobile Enhancements,US-E16-03,Native Deep Links,P1,Post-MVP,Product,Not Started,
E16,E16 - Mobile Enhancements,US-E16-04,App Store Submission (iOS + Android),P1,Post-MVP,Product,Not Started,